"id","created_at","name","has_test","alternate_url"
"54346680","2022-04-02T04:34:17+0300","Machine Learning R&D Manager (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346680"
"54346681","2022-04-02T04:34:17+0300","Machine Learning R&D Manager (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346681"
"54346693","2022-04-02T04:39:14+0300","Senior NLP Research Engineer (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346693"
"54346694","2022-04-02T04:39:14+0300","Senior NLP Research Engineer (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346694"
"52435919","2022-04-02T10:44:55+0300","Data Scientist",false,"https://hh.ru/vacancy/52435919"
"53320417","2022-04-02T13:43:34+0300","Analyst Data Scientist",true,"https://hh.ru/vacancy/53320417"
"51438014","2022-04-02T16:09:37+0300","Senior python developer / Data engineer",false,"https://hh.ru/vacancy/51438014"
"53885115","2022-04-02T16:10:09+0300","Middle/Senior Data Scientist",false,"https://hh.ru/vacancy/53885115"
"53088820","2022-04-02T16:42:10+0300","Data-analyst (удаленно)",false,"https://hh.ru/vacancy/53088820"
"54166967","2022-04-02T17:31:14+0300","Senior Data Analyst",false,"https://hh.ru/vacancy/54166967"
"52006250","2022-04-02T17:42:09+0300","Data scientist",false,"https://hh.ru/vacancy/52006250"
