('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         540540 function calls (521758 primitive calls) in 1.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      221    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       34    0.000    0.000    0.001    0.000 typing.py:626(__getitem__)
       32    0.000    0.000    0.111    0.003 response.py:706(_handle_chunk)
       34    0.000    0.000    0.001    0.000 typing.py:180(_subs_tvars)
        1    0.000    0.000    0.075    0.075 css_parser.py:1(<module>)
      198    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      489    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      181    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       34    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1625(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
       57    0.000    0.000    0.486    0.009 {method 'readline' of '_io.BufferedReader' objects}
      147    0.000    0.000    0.000    0.000 socket.py:614(readable)
       39    0.000    0.000    0.000    0.000 parse.py:412(urlsplit)
        1    0.000    0.000    0.000    0.000 models.py:274(PreparedRequest)
       12    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
      145    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       10    0.000    0.000    0.002    0.000 enum.py:394(_create_)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       39    0.000    0.000    0.000    0.000 element.py:1985(__init__)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       95    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
    40/18    0.000    0.000    0.152    0.008 {built-in method builtins.__import__}
       30    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
       51    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      196    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       12    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
       62    0.000    0.000    0.001    0.000 typing.py:638(copy_with)
        1    0.000    0.000    0.865    0.865 financial.py:32(get_row)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
        1    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       33    0.000    0.000    0.010    0.000 response.py:692(_update_chunk_length)
      196    0.000    0.000    0.000    0.000 enum.py:633(value)
       28    0.000    0.000    0.001    0.000 typing.py:765(__getitem_inner__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       21    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      165    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.000    0.000 tempfile.py:627(SpooledTemporaryFile)
       66    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      168    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2139(__init__)
        4    0.000    0.000    0.000    0.000 socket.py:139(__init__)
       81    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       33    0.000    0.000    0.003    0.000 response.py:395(_decode)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
      163    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
        2    0.000    0.000    0.001    0.000 client.py:203(parse_headers)
        5    0.000    0.000    0.000    0.000 url.py:330(parse_url)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1168(_parse_octet)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
       22    0.000    0.000    0.000    0.000 queue.py:121(put)
        7    0.000    0.000    0.028    0.004 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x108ec9710}
        3    0.000    0.000    0.026    0.009 request.py:2557(_proxy_bypass_macosx_sysconf)
       36    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
       10    0.000    0.000    0.003    0.000 enum.py:638(_convert)
      350    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
        1    0.000    0.000    0.104    0.104 __init__.py:41(<module>)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        2    0.000    0.000    0.603    0.302 connectionpool.py:361(_make_request)
      168    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       39    0.000    0.000    0.022    0.001 element.py:1847(find_all)
       91    0.000    0.000    0.000    0.000 typing.py:351(<genexpr>)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.011    0.011 request.py:68(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
       24    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       56    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.030    0.030 connectionpool.py:1(<module>)
       24    0.000    0.000    0.000    0.000 queue.py:153(get)
        1    0.000    0.000    1.093    1.093 financial.py:1(<module>)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
        2    0.000    0.000    0.060    0.030 __init__.py:3(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.006    0.006 utils.py:9(<module>)
      3/2    0.000    0.000    0.601    0.301 sessions.py:144(resolve_redirects)
       27    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       12    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        1    0.000    0.000    0.087    0.087 connection.py:356(connect)
        1    0.000    0.000    0.018    0.018 url.py:1(<module>)
      255    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       15    0.000    0.000    0.036    0.002 css_parser.py:308(__init__)
