('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         540646 function calls (521848 primitive calls) in 1.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      451    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      435    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      425    0.000    0.000    0.001    0.000 os.py:676(__getitem__)
      425    0.000    0.000    0.000    0.000 os.py:754(encode)
      423    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      416    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      414    0.000    0.000    0.001    0.000 _htmlparser.py:189(handle_data)
      412    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      412    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      412    0.001    0.000    0.002    0.000 __init__.py:589(object_was_parsed)
      412    0.001    0.000    0.002    0.000 element.py:932(__new__)
      410    0.000    0.000    0.000    0.000 os.py:699(__iter__)
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      378    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      366    0.000    0.000    0.000    0.000 types.py:164(__get__)
      350    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
      336    0.002    0.000    0.119    0.000 re.py:273(_compile)
      335    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      335    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      329    0.000    0.000    0.118    0.000 re.py:234(compile)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      323    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      293    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      266    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      266    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      266    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
      255    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      255    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
      244    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      244    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      244    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      244    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
    229/3    0.000    0.000    0.626    0.209 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      227    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      221    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
  211/175    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      203    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      203    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
    203/3    0.001    0.000    0.631    0.210 <frozen importlib._bootstrap>:978(_find_and_load)
    202/3    0.001    0.000    0.631    0.210 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
  199/161    0.001    0.000    0.161    0.001 <frozen importlib._bootstrap>:882(_find_spec)
      198    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      198    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      198    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
      196    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      196    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      196    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      196    0.000    0.000    0.000    0.000 enum.py:633(value)
      190    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
      189    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      189    0.001    0.000    0.001    0.000 enum.py:841(__and__)
      189    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
      189    0.000    0.000    0.041    0.000 sre_compile.py:598(_code)
      189    0.001    0.000    0.115    0.001 sre_compile.py:759(compile)
      189    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      189    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      189    0.001    0.000    0.072    0.000 sre_parse.py:913(parse)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
      181    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      179    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      179    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      179    0.000    0.000    0.165    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
    179/3    0.001    0.000    0.631    0.210 <frozen importlib._bootstrap>:663(_load_unlocked)
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      170    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      170    0.000    0.000    0.000    0.000 enum.py:628(name)
      170    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
      168    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      168    0.080    0.000    0.080    0.000 {method 'upper' of 'str' objects}
      168    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
    166/1    0.001    0.000    1.607    1.607 {built-in method builtins.exec}
      165    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      165    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      163    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      163    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
  153/152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      151    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      151    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
      151    0.140    0.001    0.140    0.001 {method 'read' of '_io.FileIO' objects}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      151    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    151/3    0.001    0.000    0.631    0.210 <frozen importlib._bootstrap_external>:722(exec_module)
      151    0.002    0.000    0.169    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      151    0.006    0.000    0.145    0.001 <frozen importlib._bootstrap_external>:914(get_data)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      148    0.000    0.000    0.000    0.000 socket.py:614(readable)
      146    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      146    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      146    0.000    0.000    0.633    0.004 socket.py:575(readinto)
      145    0.000    0.000    0.540    0.004 ssl.py:920(read)
      145    0.000    0.000    0.541    0.004 ssl.py:1060(recv_into)
      145    0.540    0.004    0.540    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      142    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
      140    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      136    0.001    0.000    0.003    0.000 typing.py:608(__init__)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      124    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      108    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       99    0.000    0.000    0.000    0.000 constant.py:342(<lambda>)
