('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         628026 function calls (605749 primitive calls) in 1.123 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1279    0.000    0.000    0.001    0.000 sre_parse.py:81(groups)
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      717    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      161    0.000    0.000    0.000    0.000 _state.py:258(_fire_state_triggered_transitions)
     1222    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      487    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      325    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      383    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      157    0.000    0.000    0.115    0.001 _models.py:1620(iter_raw)
      509    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      151    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
     1223    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      585    0.000    0.000    0.001    0.000 enum.py:531(__new__)
       13    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
  211/173    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       60    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       15    0.000    0.000    0.006    0.000 dataclasses.py:795(_process_class)
      192    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      295    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      412    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      192    0.000    0.000    0.053    0.000 sre_compile.py:598(_code)
      158    0.000    0.000    0.119    0.001 _models.py:1569(iter_bytes)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      217    0.000    0.000    0.004    0.000 typing.py:638(copy_with)
       94    0.000    0.000    0.001    0.000 sre_parse.py:267(getuntil)
      312    0.000    0.000    0.001    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      242    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       15    0.000    0.000    0.000    0.000 _util.py:105(make_sentinel)
      726    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      858    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      414    0.000    0.000    0.001    0.000 _htmlparser.py:189(handle_data)
      313    0.000    0.000    0.000    0.000 _decoders.py:173(decode)
     1001    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1628    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      462    0.000    0.000    0.001    0.000 contextlib.py:237(helper)
      771    0.000    0.000    0.000    0.000 _connection.py:182(their_state)
     1291    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
      858    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       77    0.000    0.000    0.001    0.000 functools.py:37(update_wrapper)
     1594    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      861    0.000    0.000    0.000    0.000 element.py:1456(get)
     1130    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      597    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      175    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       86    0.000    0.000    0.003    0.000 typing.py:765(__getitem_inner__)
     1301    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      360    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       54    0.000    0.000    0.004    0.000 dataclasses.py:364(_create_fn)
      242    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      187    0.000    0.000    0.000    0.000 _receivebuffer.py:66(_extract)
     1594    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  244/243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      746    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1066    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      444    0.000    0.000    0.009    0.000 sre_parse.py:96(closegroup)
      582    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      285    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     1327    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      504    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       90    0.000    0.000    0.001    0.000 enum.py:835(__or__)
      178    0.000    0.000    0.003    0.000 typing.py:749(__getitem__)
      416    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      593    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
    345/3    0.000    0.000    0.338    0.113 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      365    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      295    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      361    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      355    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      300    0.000    0.000    0.000    0.000 types.py:164(__get__)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       39    0.000    0.000    0.000    0.000 typing.py:849(__init_subclass__)
      885    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      461    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
      334    0.000    0.000    0.145    0.000 re.py:234(compile)
     1537    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x110277950}
      146    0.000    0.000    0.000    0.000 _connection.py:310(receive_data)
      193    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      161    0.000    0.000    0.001    0.000 _state.py:226(process_event)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      146    0.000    0.000    0.539    0.004 ssl.py:920(read)
      762    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.004    0.000 enum.py:394(_create_)
      146    0.000    0.000    0.540    0.004 ssl.py:1049(recv)
      146    0.000    0.000    0.000    0.000 _receivebuffer.py:52(__iadd__)
      384    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      192    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
       28    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       48    0.000    0.000    0.001    0.000 typing.py:824(__class_getitem__)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
        1    0.000    0.000    0.000    0.000 _models.py:1073(Request)
    31/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      162    0.000    0.000    0.000    0.000 _connection.py:292(_respond_to_state_changes)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      531    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
        1    0.000    0.000    0.031    0.031 dammit.py:2310(EntitySubstitution)
    48/21    0.000    0.000    0.198    0.009 {built-in method builtins.__import__}
       59    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
       37    0.000    0.000    0.000    0.000 dataclasses.py:657(_get_field)
      470    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      285    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       88    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
      291    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      937    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      528    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      161    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      908    0.000    0.000    0.000    0.000 _exceptions.py:5(map_exceptions)
      109    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      313    0.000    0.000    0.001    0.000 typing.py:634(<genexpr>)
        2    0.000    0.000    0.012    0.006 _sockets.py:1(<module>)
      162    0.000    0.000    0.000    0.000 _state.py:246(_fire_event_triggered_transitions)
        1    0.000    0.000    0.204    0.204 _client.py:1(<module>)
        2    0.000    0.000    0.086    0.043 _models.py:1(<module>)
      371    0.000    0.000    0.000    0.000 typing_extensions.py:126(_should_collect_from_parameters)
      316    0.000    0.000    0.000    0.000 _events.py:85(__eq__)
      905    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 md.py:161(SuspiciousDuplicateAccentPlugin)
      292    0.000    0.000    0.000    0.000 _receivebuffer.py:59(__len__)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
      156    0.000    0.000    0.004    0.000 _decoders.py:74(decode)
       20    0.000    0.000    0.000    0.000 _readers.py:55(_decode_header_lines)
      335    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       23    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
        1    0.000    0.000    0.078    0.078 css_parser.py:1(<module>)
       15    0.000    0.000    0.002    0.000 dataclasses.py:476(_init_fn)
       25    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      342    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       59    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
       45    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       39    0.000    0.000    0.000    0.000 element.py:1985(__init__)
       79    0.000    0.000    0.000    0.000 typing_extensions.py:96(_check_generic)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1625(_ip_int_from_string)
        2    0.000    0.000    0.000    0.000 http_proxy.py:1(<module>)
       23    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       60    0.000    0.000    0.002    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.000    0.000 _fileio.py:184(Path)
      146    0.000    0.000    0.000    0.000 _receivebuffer.py:56(__bool__)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      190    0.000    0.000    0.000    0.000 enum.py:633(value)
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       13    0.000    0.000    0.005    0.000 enum.py:638(_convert)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       91    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
       86    0.000    0.000    0.000    0.000 re.py:254(escape)
       54    0.000    0.000    0.001    0.000 typing.py:445(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       49    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      100    0.000    0.000    0.000    0.000 _models.py:857(encoding)
      157    0.000    0.000    0.114    0.001 default.py:102(__iter__)
        2    0.000    0.000    0.002    0.001 _subprocesses.py:1(<module>)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
        1    0.000    0.000    0.002    0.002 _client.py:1277(AsyncClient)
        1    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      157    0.000    0.000    0.114    0.001 connection_pool.py:345(__iter__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      257    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       37    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2139(__init__)
        1    0.000    0.000    0.000    0.000 from_thread.py:68(_BlockingAsyncContextManager)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2198(_signature_from_callable)
