('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         540386 function calls (521626 primitive calls) in 6.097 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      585    0.000    0.000    0.001    0.000 enum.py:531(__new__)
     2396    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      870    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      179    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
1273/1203    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1223    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      989    0.000    0.000    0.001    0.000 typing.py:595(_is_dunder)
      412    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
  211/175    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      170    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
      151    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       38    0.000    0.000    0.112    0.003 {method 'read' of '_io.BufferedReader' objects}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1222    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      146    0.000    0.000    0.608    0.004 socket.py:575(readinto)
  502/306    0.000    0.000    0.126    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
       10    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
      861    0.000    0.000    0.000    0.000 element.py:1456(get)
       13    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      979    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      189    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      953    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      435    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      414    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1686    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      366    0.000    0.000    0.000    0.000 types.py:164(__get__)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1533    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      323    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      711    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1304    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      145    0.000    0.000    0.542    0.004 ssl.py:1060(recv_into)
       97    0.000    0.000    0.001    0.000 enum.py:835(__or__)
      163    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      410    0.000    0.000    0.000    0.000 os.py:699(__iter__)
      142    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
     1057    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1365    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        5    0.000    0.000    0.002    0.000 request.py:2489(getproxies_environment)
     1057    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      196    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      203    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      378    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      747    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      425    0.000    0.000    0.000    0.000 os.py:754(encode)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      610    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      808    0.000    0.000    0.000    0.000 os.py:758(decode)
    47/30    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      453    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      610    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
      473    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      412    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      329    0.000    0.000    0.115    0.000 re.py:234(compile)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      189    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      140    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      190    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      416    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
  153/152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      151    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      951    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      145    0.000    0.000    0.542    0.004 ssl.py:920(read)
  555/552    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      266    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x103c3e710}
    229/3    0.000    0.000    0.225    0.075 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      335    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      203    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      710    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      488    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      198    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       41    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
       34    0.000    0.000    0.001    0.000 typing.py:626(__getitem__)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
        9    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       38    0.000    0.000    0.112    0.003 client.py:604(_safe_read)
       24    0.000    0.000    0.112    0.005 response.py:706(_handle_chunk)
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       30    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
       34    0.000    0.000    0.001    0.000 typing.py:180(_subs_tvars)
       34    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.001    0.001 core.py:1(<module>)
        1    0.000    0.000    0.073    0.073 css_parser.py:1(<module>)
      870    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.029    0.029 dammit.py:2310(EntitySubstitution)
        1    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
      148    0.000    0.000    0.000    0.000 socket.py:614(readable)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      182    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
    41/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       24    0.000    0.000    0.116    0.005 response.py:728(read_chunked)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      489    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
      221    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       10    0.000    0.000    0.003    0.000 enum.py:394(_create_)
      163    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1625(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 models.py:274(PreparedRequest)
      198    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1168(_parse_octet)
       95    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
